client_email,client_mobile,query_heading,query_description,status,date_raised,date_closed,category
kevinharvey@example.com,3516084282,Technical Support,Can’t install latest update.,Closed,2025-05-07,2025-05-09,Technical Support
jacksonbarry@example.net,5210201985,Login Issue,Account seems to be disabled.,Closed,2025-05-19,2025-05-29,Bug Report
crystal87@example.net,5640491245,Billing Problem,Refund not credited after 7 days.,Closed,2025-02-01,2025-02-06,Bug Report
stephenswilliam@example.org,6301693680,Login Issue,Seeing 'invalid session token' error.,Closed,2025-02-03,2025-02-05,Bug Report
brandonpugh@example.org,1124454576,Billing Problem,Charged extra on my last invoice.,Closed,2025-02-25,2025-03-06,Bug Report
myerstina@example.org,9628184277,Payment Failure,Payment shows success but app locked.,Closed,2025-04-18,2025-04-24,Billing Problem
reedrebecca@example.net,168975882,Account Suspension,Can I restore my data after suspension?,Closed,2025-07-25,2025-07-27,General
moorevictoria@example.net,5627021079,Feature Request,Add AI auto-suggestions for forms.,Closed,2025-07-21,2025-07-22,Feature Request
angelamora@example.net,589881633,Data Export,Data export not matching preview.,Closed,2025-04-25,2025-04-27,Data Export
dwayne81@example.com,889469595,UI Feedback,Filter section takes too much space.,Closed,2025-07-21,2025-07-31,UI Feedback
nwall@example.net,6786351574,Login Issue,Forgot my password and reset isn’t working.,Closed,2025-01-31,2025-02-09,Bug Report
matthewcurry@example.com,4475409658,Data Export,Can’t schedule data export.,Closed,2025-05-07,2025-05-11,Data Export
martinchristopher@example.com,3150651926,Bug Report,Chart not updating after data refresh.,Closed,2025-03-19,2025-04-02,Bug Report
hbaker@example.net,8272736746,Login Issue,Error 401 appearing on login.,Closed,2025-04-23,2025-04-28,Bug Report
ujohnson@example.net,1080952307,Technical Support,Slow performance during peak hours.,Closed,2025-04-16,2025-04-19,Technical Support
bethanysimmons@example.org,7636011241,Data Export,Zip file corrupted during export.,Closed,2025-02-21,2025-02-24,Data Export
fgates@example.org,8349428717,Technical Support,Can’t install latest update.,Closed,2025-05-31,2025-06-13,Technical Support
jasminewashington@example.com,3443854885,Data Export,Export email not received.,Closed,2025-04-16,2025-04-25,Data Export
campbellalan@example.com,9854809652,Billing Problem,Incorrect tax calculations.,Closed,2025-01-29,2025-02-01,Bug Report
michellejones@example.org,608468228,Subscription Cancellation,Received cancellation email but charged again.,Closed,2025-06-06,2025-06-07,Subscription Cancellation
vjohnson@example.org,8843342950,Feature Request,Need in-app video tutorials.,Closed,2025-02-04,2025-02-10,Feature Request
robinsonjacqueline@example.net,7146510641,Technical Support,Notifications are not working.,Closed,2025-06-11,2025-06-14,Technical Support
amanda58@example.com,5673327709,Data Export,Exported PDF looks blank.,Closed,2025-07-09,2025-07-21,Data Export
turnerricardo@example.org,4582284595,Data Export,Time range in export is incorrect.,Closed,2025-02-12,2025-02-25,Data Export
ymendoza@example.com,2226525748,Payment Failure,Bank transaction shows pending.,Closed,2025-04-24,2025-05-03,Billing Problem
nicholas05@example.org,9511429556,Technical Support,Getting JSON decode error.,Closed,2025-04-01,2025-04-02,Technical Support
jenniferroberts@example.com,5589526122,Login Issue,Unable to login with correct credentials.,Closed,2025-04-19,2025-04-21,Bug Report
dfuller@example.com,1090588018,Technical Support,White screen on startup.,Closed,2025-05-02,2025-05-07,Technical Support
eellis@example.org,1267351706,Subscription Cancellation,Was offered discount after cancel — still charged full.,Closed,2025-04-10,2025-04-11,Subscription Cancellation
oclarke@example.net,8044954993,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2025-02-23,2025-03-10,Bug Report
bryanhudson@example.com,1829817058,Feature Request,Would like push notifications for updates.,Closed,2025-06-21,2025-06-22,Feature Request
jacksonashley@example.org,3498140888,Subscription Cancellation,Received cancellation email but charged again.,Closed,2025-03-25,2025-03-26,Subscription Cancellation
lauranorris@example.net,6696961385,Billing Problem,Bill shows usage I didn’t make.,Closed,2025-02-06,2025-02-21,Bug Report
hayskyle@example.com,8114549073,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2025-05-17,2025-05-26,Bug Report
johnmcdowell@example.com,8548971451,Login Issue,Login working on browser but not app.,Closed,2025-05-09,2025-05-23,Bug Report
jaredbriggs@example.com,9436772822,Bug Report,Chart not updating after data refresh.,Closed,2025-06-04,2025-06-13,Bug Report
renee63@example.com,666160520,Bug Report,Reports section not opening.,Closed,2025-03-10,2025-03-14,Bug Report
hayestraci@example.com,5336123083,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2025-04-07,2025-04-10,Bug Report
wsalazar@example.com,9964147740,Login Issue,Session expires immediately after login.,Closed,2025-07-24,2025-07-26,Bug Report
brooke41@example.com,7838481278,Login Issue,Seeing 'invalid session token' error.,Closed,2025-02-18,2025-02-19,Bug Report
codycalhoun@example.org,5155668344,Feature Request,Multi-user role system would help.,Closed,2025-02-21,2025-02-23,Feature Request
virginia04@example.com,4776889228,Subscription Cancellation,Received cancellation email but charged again.,Closed,2025-07-25,2025-08-01,Subscription Cancellation
juliegriffin@example.com,3103165838,Bug Report,Date selector not responsive.,Closed,2025-06-29,2025-07-04,Bug Report
cynthiamathews@example.org,9248696404,Payment Failure,Payment gateway not redirecting.,Closed,2025-03-03,2025-03-05,Billing Problem
sbaxter@example.org,6494163603,Feature Request,Ability to bulk edit entries needed.,Closed,2025-05-24,2025-05-25,Feature Request
warrensusan@example.com,5552831330,Payment Failure,Need confirmation after retry.,Closed,2025-05-02,2025-05-14,Billing Problem
mossdavid@example.org,6873257806,UI Feedback,Mobile responsiveness needs improvement.,Closed,2025-06-26,2025-07-04,UI Feedback
smithmegan@example.net,1280459229,Login Issue,Cannot log in on mobile app.,Closed,2025-01-29,2025-02-07,Bug Report
carpenterelizabeth@example.net,8796313550,UI Feedback,Font inconsistent across pages.,Closed,2025-04-25,2025-04-26,UI Feedback
dfisher@example.net,4578997498,Login Issue,Login working on browser but not app.,Closed,2025-06-01,2025-06-03,Bug Report
flemingbrandon@example.org,9992235599,Bug Report,Blank screen after form submission.,Closed,2025-05-02,2025-05-18,Bug Report
smatthews@example.org,9878160821,Account Suspension,Can’t access services due to ban.,Closed,2025-06-24,2025-06-25,General
edwin98@example.net,2149646307,UI Feedback,Graphs too compressed on mobile view.,Closed,2025-03-27,2025-04-04,UI Feedback
amanda10@example.com,154235856,Account Suspension,Support says I’m blacklisted — why?,Closed,2025-04-11,2025-04-13,General
lwagner@example.net,4546939886,Data Export,Can’t schedule data export.,Closed,2025-05-01,2025-05-02,Data Export
bernardrobinson@example.org,9979048078,Bug Report,Sidebar collapses on scroll.,Closed,2025-05-27,2025-05-28,Bug Report
heather85@example.net,7000287242,Bug Report,Date selector not responsive.,Closed,2025-05-17,2025-05-22,Bug Report
smithnicole@example.com,6469014856,Data Export,Auto-export not working on Fridays.,Closed,2025-03-27,2025-04-03,Data Export
pagenicholas@example.net,2125490550,Technical Support,Download button is inactive.,Closed,2025-07-07,2025-07-10,Technical Support
savagemelissa@example.org,7738648797,Data Export,Need export in regional time zone.,Closed,2025-02-17,2025-02-19,Data Export
srodriguez@example.com,9826356826,Billing Problem,Amount charged doesn’t match pricing plan.,Closed,2025-02-23,2025-02-27,Bug Report
annkeller@example.com,5129723443,Login Issue,Forgot my password and reset isn’t working.,Closed,2025-05-27,2025-06-01,Bug Report
chelsey42@example.net,8214713059,Subscription Cancellation,Cancelled but dashboard shows active.,Closed,2025-02-02,2025-02-09,Subscription Cancellation
jennifer89@example.org,1403322177,Technical Support,App crashes after update.,Closed,2025-01-30,2025-02-03,Technical Support
andrewgarrison@example.com,8368522186,Billing Problem,Late fee charged wrongly.,Closed,2025-04-05,2025-04-09,Bug Report
timothyjimenez@example.org,4994113556,UI Feedback,Sidebar hides important links.,Closed,2025-02-20,2025-03-05,UI Feedback
hponce@example.com,1192619365,Subscription Cancellation,Need proof of cancellation for records.,Closed,2025-06-28,2025-07-09,Subscription Cancellation
ynash@example.com,630475489,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2025-04-08,2025-04-15,Bug Report
murraymichael@example.net,7119256146,Login Issue,Cannot log in on mobile app.,Closed,2025-07-27,2025-07-28,Bug Report
qjackson@example.com,3873891524,Account Suspension,Received policy violation but unclear why.,Closed,2025-03-09,2025-03-10,General
luis48@example.org,3697659354,Billing Problem,Bank deducted amount but dashboard shows unpaid.,Closed,2025-03-23,2025-03-26,Bug Report
sharon35@example.org,1110058418,Payment Failure,Need confirmation after retry.,Closed,2025-04-21,2025-05-06,Billing Problem
angela94@example.net,5586828570,Data Export,Export email not received.,Closed,2025-06-15,2025-06-26,Data Export
mitchellspencer@example.net,7000051016,Technical Support,Freezing during screen load.,Closed,2025-03-26,2025-04-07,Technical Support
ynoble@example.net,4109768749,Subscription Cancellation,Need proof of cancellation for records.,Closed,2025-06-18,2025-06-19,Subscription Cancellation
jonathan21@example.org,3081551624,Account Suspension,Can I restore my data after suspension?,Closed,2025-05-29,2025-05-30,General
susanmartinez@example.com,5108989167,Payment Failure,Payment failed due to card error.,Closed,2025-04-20,2025-05-04,Billing Problem
jesseallen@example.org,6973456006,Subscription Cancellation,Accidentally cancelled wrong plan.,Closed,2025-04-25,2025-04-27,Subscription Cancellation
elizabeth41@example.org,1910174367,Login Issue,Redirect loop after logging in.,Closed,2025-03-07,2025-03-09,Bug Report
megan12@example.com,5306644570,Payment Failure,Payment failed due to card error.,Closed,2025-06-22,2025-06-30,Billing Problem
evillegas@example.com,1992625220,Billing Problem,Refund not credited after 7 days.,Closed,2025-05-21,2025-05-23,Bug Report
mcollins@example.org,239222014,Login Issue,Seeing 'invalid session token' error.,Closed,2025-05-11,2025-05-13,Bug Report
wgoodwin@example.net,5223214561,Login Issue,Redirect loop after logging in.,Closed,2025-01-29,2025-02-01,Bug Report
ojackson@example.org,1552229706,Feature Request,Suggesting calendar integration.,Closed,2025-06-15,2025-06-17,Feature Request
ashley76@example.net,2606294215,Feature Request,Can you include language translation?,Closed,2025-04-18,2025-04-19,Feature Request
hward@example.com,6955537574,UI Feedback,Text is too small on mobile.,Closed,2025-04-19,2025-04-29,UI Feedback
erincurtis@example.net,518945887,UI Feedback,Buttons overlap on smaller screens.,Closed,2025-07-06,2025-07-23,UI Feedback
tabitha87@example.com,8785429955,Payment Failure,Need GST invoice after payment.,Closed,2025-07-20,2025-07-22,Billing Problem
tjenkins@example.org,8958642175,UI Feedback,Error messages not clear enough.,Closed,2025-06-18,2025-06-22,UI Feedback
deborah91@example.net,3053453784,Bug Report,Filter not retaining after refresh.,Closed,2025-03-01,2025-03-06,Bug Report
rickey61@example.com,1098614819,Login Issue,Unable to login with correct credentials.,Closed,2025-04-16,2025-04-24,Bug Report
jbradley@example.org,5715274799,Subscription Cancellation,Need proof of cancellation for records.,Closed,2025-05-30,2025-06-01,Subscription Cancellation
nancy39@example.net,9744030885,Account Suspension,Terms of use were unclear.,Opened,2025-03-15,,General
igraves@example.net,6782558206,Billing Problem,Promo code was not applied.,Closed,2025-02-21,2025-03-08,Bug Report
iburnett@example.net,443398912,Payment Failure,Payment success mail delayed.,Closed,2025-07-23,2025-07-29,Billing Problem
suzanneyates@example.org,1846149954,Bug Report,Page crashes on click of ‘submit’.,Closed,2025-03-04,2025-03-06,Bug Report
emiller@example.com,1727807012,Feature Request,Request feature to duplicate projects.,Closed,2025-02-14,2025-02-15,Feature Request
omarquez@example.org,8788556410,Technical Support,Can’t sync data across devices.,Closed,2025-04-11,2025-04-13,Technical Support
stephen40@example.net,5589305516,Login Issue,Account seems to be disabled.,Closed,2025-06-09,2025-06-17,Bug Report
jessicawoods@example.org,4649890949,Billing Problem,Invoice PDF is missing this month.,Closed,2025-06-04,2025-06-05,Bug Report
mrivas@example.org,9446982828,Feature Request,Save filter views for reuse.,Closed,2025-04-10,2025-04-15,Feature Request
johndixon@example.org,618851676,Login Issue,Seeing 'invalid session token' error.,Closed,2025-03-25,2025-03-26,Bug Report
norrisandrew@example.net,5240040734,Subscription Cancellation,Cannot downgrade before cancel.,Closed,2025-05-19,2025-05-21,Subscription Cancellation
charlesgarcia@example.org,5614138376,Data Export,Need export in regional time zone.,Closed,2025-04-06,2025-04-21,Data Export
vjenkins@example.net,6671891055,Feature Request,Provide more chart types in dashboard.,Closed,2025-02-14,2025-02-17,Feature Request
dgay@example.com,8473734892,Feature Request,Add folder structure to organize data.,Closed,2025-05-28,2025-06-03,Feature Request
jamesmccoy@example.org,6514461218,Account Suspension,Received policy violation but unclear why.,Closed,2025-02-13,2025-02-17,General
david08@example.com,5977177824,UI Feedback,Mobile responsiveness needs improvement.,Closed,2025-06-10,2025-06-13,UI Feedback
gmiller@example.com,8998856822,Billing Problem,Amount charged doesn’t match pricing plan.,Closed,2025-04-26,2025-04-27,Bug Report
nathan10@example.net,8755106653,Subscription Cancellation,App locked after cancellation.,Closed,2025-02-22,2025-02-24,Subscription Cancellation
katherinestrickland@example.com,7449435875,Bug Report,Reports section not opening.,Closed,2025-02-02,2025-02-08,Bug Report
fharding@example.org,4422713519,UI Feedback,Dropdowns too close together.,Closed,2025-05-01,2025-05-04,UI Feedback
irichards@example.net,1767304475,UI Feedback,Color scheme hard to read in sunlight.,Closed,2025-05-24,2025-06-05,UI Feedback
james29@example.org,4584160403,Data Export,Need export in regional time zone.,Closed,2025-05-10,2025-05-11,Data Export
michellesimmons@example.org,5755635790,Billing Problem,Charged extra on my last invoice.,Closed,2025-05-16,2025-05-26,Bug Report
jenkinsaustin@example.net,8155177874,Billing Problem,Duplicate transaction found.,Closed,2025-07-25,2025-07-31,Bug Report
brittney39@example.com,188405714,Account Suspension,Appeal submitted but no response yet.,Closed,2025-07-16,2025-07-19,General
karen99@example.org,8336811161,UI Feedback,Error messages not clear enough.,Closed,2025-07-22,2025-07-29,UI Feedback
grayamanda@example.org,6198804391,Subscription Cancellation,Wrong account cancelled.,Closed,2025-05-28,2025-05-29,Subscription Cancellation
martinkrista@example.com,5658944055,Payment Failure,Payment shows success but app locked.,Closed,2025-03-10,2025-03-11,Billing Problem
nancy37@example.org,1256015851,Login Issue,Session expires immediately after login.,Closed,2025-03-29,2025-03-31,Bug Report
audreyguerra@example.com,111569305,Payment Failure,Payment success mail delayed.,Closed,2025-06-25,2025-07-12,Billing Problem
jasonboyd@example.net,3736483107,Technical Support,Graphs not rendering properly.,Closed,2025-03-02,2025-03-07,Technical Support
lawrencelori@example.com,2595230180,Account Suspension,Suspension mail was too vague.,Closed,2025-02-28,2025-03-07,General
cody52@example.net,2999477604,Account Suspension,Received policy violation but unclear why.,Closed,2025-02-11,2025-02-13,General
karen26@example.com,1573709413,Billing Problem,Duplicate transaction found.,Closed,2025-02-07,2025-02-13,Bug Report
jenniferbutler@example.org,6209796060,Account Suspension,Suspension mail was too vague.,Closed,2025-06-05,2025-06-07,General
tevans@example.org,2663687296,UI Feedback,Graphs too compressed on mobile view.,Closed,2025-02-19,2025-02-24,UI Feedback
mcdowelllori@example.com,3718137459,Technical Support,Freezing during screen load.,Closed,2025-07-24,2025-07-25,Technical Support
janetrodriguez@example.net,2614890685,Technical Support,Settings not saving properly.,Closed,2025-07-11,2025-07-12,Technical Support
ortegaanthony@example.net,1766433053,Feature Request,Ability to bulk edit entries needed.,Closed,2025-06-03,2025-06-04,Feature Request
armstrongcarla@example.net,5891755681,Billing Problem,Need clarification on currency charges.,Closed,2025-05-08,2025-05-10,Bug Report
jasmineaguilar@example.org,2443069802,Data Export,Export email not received.,Closed,2025-05-09,2025-05-12,Data Export
ocollins@example.org,6051289595,Account Suspension,"Got auto-ban, never violated terms.",Closed,2025-03-26,2025-04-08,General
emedina@example.com,2923814086,Payment Failure,Need help with failed subscription payment.,Closed,2025-03-28,2025-04-15,Billing Problem
annaschroeder@example.org,7008431148,Feature Request,Can we have auto-save for drafts?,Closed,2025-05-27,2025-05-28,Feature Request
walkerjeffrey@example.net,9445730101,Subscription Cancellation,Still charged after cancellation.,Closed,2025-03-14,2025-03-17,Subscription Cancellation
mariah48@example.net,946234164,Login Issue,Captcha keeps looping during login.,Closed,2025-06-10,2025-06-15,Bug Report
ggarrett@example.net,8007045702,UI Feedback,Table headers not sticky.,Closed,2025-06-05,2025-06-06,UI Feedback
fredrivera@example.org,1037451071,UI Feedback,Buttons overlap on smaller screens.,Closed,2025-02-04,2025-02-07,UI Feedback
jrichards@example.com,9286367033,Technical Support,Settings not saving properly.,Closed,2025-03-25,2025-04-01,Technical Support
qcarpenter@example.com,6870409736,Bug Report,Sidebar collapses on scroll.,Closed,2025-04-27,2025-04-28,Bug Report
christinegomez@example.com,1456516442,Account Suspension,Need reason for my suspension.,Closed,2025-05-13,2025-05-17,General
dbrown@example.org,9334409005,UI Feedback,Error messages not clear enough.,Closed,2025-05-12,2025-05-13,UI Feedback
patriciahernandez@example.org,3641228037,Account Suspension,Got a warning mail I don’t understand.,Closed,2025-02-23,2025-02-27,General
uhorton@example.net,6206059787,UI Feedback,Sidebar hides important links.,Closed,2025-03-03,2025-03-05,UI Feedback
wrodriguez@example.net,1494495384,Billing Problem,Refund not credited after 7 days.,Closed,2025-03-09,2025-03-10,Bug Report
lauren08@example.net,5772464044,Account Suspension,Got a warning mail I don’t understand.,Closed,2025-04-20,2025-04-25,General
cbeard@example.org,7162509112,Bug Report,Back button doesn’t work.,Closed,2025-05-15,2025-05-18,Bug Report
mjacobs@example.com,8103914683,Account Suspension,Unjustified account suspension request.,Closed,2025-07-15,2025-08-01,General
schroederjessica@example.com,3111806534,Billing Problem,Refund not credited after 7 days.,Closed,2025-05-29,2025-05-31,Bug Report
rdaniel@example.com,6261117528,Bug Report,Form validation not working properly.,Closed,2025-01-29,2025-02-04,Bug Report
swells@example.net,8353715804,Account Suspension,Need reason for my suspension.,Closed,2025-02-09,2025-02-14,General
mbaker@example.net,8852490220,Billing Problem,Refund not credited after 7 days.,Closed,2025-05-01,2025-05-07,Bug Report
garciapriscilla@example.org,8373116543,Billing Problem,Billing cycle was reset unexpectedly.,Closed,2025-05-27,2025-05-28,Bug Report
gvillarreal@example.net,8373378180,Account Suspension,Account banned during payment process.,Closed,2025-05-17,2025-05-21,General
flopez@example.net,5808628168,Payment Failure,Charged twice for one payment.,Closed,2025-04-01,2025-04-02,Billing Problem
logandiane@example.net,5963961112,Billing Problem,Invoice PDF is missing this month.,Closed,2025-02-04,2025-02-06,Bug Report
kevinmyers@example.net,5416214781,UI Feedback,Sidebar hides important links.,Closed,2025-05-12,2025-05-13,UI Feedback
elaine66@example.com,6043454136,Account Suspension,Received policy violation but unclear why.,Closed,2025-07-17,2025-07-27,General
michael21@example.com,9852052552,Account Suspension,Received policy violation but unclear why.,Closed,2025-04-01,2025-04-18,General
tracieblanchard@example.org,1284698771,Data Export,Need export in regional time zone.,Closed,2025-05-15,2025-05-30,Data Export
ichaney@example.net,4695154090,Feature Request,Please add support for dark mode.,Closed,2025-01-29,2025-02-10,Feature Request
kingmelissa@example.org,929261250,UI Feedback,Icons not intuitive.,Closed,2025-07-12,2025-07-22,UI Feedback
